article_id,event,source,source_bias,ref,title,sentence_index,sentence,biased,sentiment,article_mean_sentiment,sentiment_deviation_article,sentiment_deviation_window
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',0,A DATA analysis firm employed by President Donald Trump's 2016 campaign reportedly tapped the Facebook profiles of more than 50 million users without their permission.,1,0.0,-0.06362999999999999,0.06362999999999999,0.204175
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',1,"The data leak allowed Cambridge Analytica, which had ties to Trump campaign strategist Steve Bannon, to capitalise on social media activity of a large portion of the U.S. electorate, The New York Times and The Guardian reported.",1,-0.34,-0.06362999999999999,0.27637,0.24466000000000004
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',2,Facebook said it suspended Cambridge Analytica over allegations that it kept the improperly obtained user data after telling Facebook it had been deleted.,0,-0.4767,-0.06362999999999999,0.41307000000000005,0.3149333333333334
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',3,"In a blog post, the social network explained that the firm had received user data from a Facebook app that purported to be a psychological research tool, though the firm was not authorised to have the information.",1,0.0,-0.06362999999999999,0.06362999999999999,0.13865714285714284
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',4,"Roughly 270,000 people downloaded and shared personal details with the app.",0,0.34,-0.06362999999999999,0.40363000000000004,0.5176857142857143
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',5,"Cambridge Analytica later certified in 2015 that it had destroyed the information it had received, according to Facebook, although the social network said it received reports ""several days ago"" that not all the data was deleted.",1,-0.4939,-0.06362999999999999,0.43027000000000004,0.33075714285714286
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',6,Facebook says it is investigating.,1,0.0,-0.06362999999999999,0.06362999999999999,0.15245714285714285
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',7,"Facebook has also suspended the access of Cambridge Analytica's parent company, Strategic Communication Laboratories; University of Cambridge psychology professor Aleksandr Kogan, the academic who created the app in question; and another individual, ",1,-0.2732,-0.06362999999999999,0.20957,0.12074285714285715
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',8,"Cambridge Analytica denied wrongdoing in a statement, saying the parent company's SCL Elections unit hired Kogan to undertake ""a large scale research project in the US,"" but subsequently deleted all data it received from Kogan's company after learnin",1,-0.2382,-0.06362999999999999,0.17457,0.03717142857142858
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',9,"The firm said none of Kogan's data was used in its 2016 election work for the ""avoidance of doubt.""",1,-0.4019,-0.06362999999999999,0.33826999999999996,0.3624142857142857
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',10,Kogan did not immediately reply to an emailed request for comment.,1,0.0,-0.06362999999999999,0.06362999999999999,0.12415714285714285
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',11,Wylie could not immediately be located.,1,0.0,-0.06362999999999999,0.06362999999999999,0.021014285714285715
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',12,Cambridge Analytica - which claims to build psychological profiles based on personal details from millions of Americans to categorise individual voters - is best known for its political work during the 2016 US presidential campaign.,1,0.6369,-0.06362999999999999,0.70053,0.5818571428571429
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',13,"But Trump's campaign Saturday denied using the firm's data, saying it relied on the Republican National Committee for its data.",1,-0.5927,-0.06362999999999999,0.52907,0.7051571428571428
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',14,"The firm had secured a $15 million investment from billionaire Robert Mercer - who supported the Trump campaign - and wooed Bannon with the promise of tools that could identify the personalities of American voters and influence their behaviour, it's",1,0.743,-0.06362999999999999,0.80663,0.6305428571428572
0,Facebook,078_The Sun_1,right,016_Reuters_1,Facebook user data breach as '50 MILLION profiles were used to predict and influence US voters',15,"But Cambridge Analytica did not have the data to make its new products work, so the firm harvested private information from the Facebook profiles of more than 50 million users without their permission.",1,0.0,-0.06362999999999999,0.06362999999999999,0.11245714285714285
